0.379,-3.3,-10.0,-2.7,0.0,0.7,1.3,-0.7,-6.7,0.0,1.3,1.3,2.0
0.386,-3.3,-10.7,-2.7,0.0,0.0,1.3,-1.3,-7.3,0.0,1.3,1.3,2.0
0.393,-4.0,-11.3,-3.3,0.0,0.7,1.3,-1.3,-8.0,0.0,1.3,1.3,2.0
0.400,-4.7,-12.0,-3.3,-0.7,0.0,1.3,-2.0,-9.3,-0.7,1.3,1.3,2.0
0.407,-4.7,-12.7,-4.0,-0.7,0.0,1.3,-2.7,-10.0,-1.3,0.7,1.3,2.0
0.414,-5.3,-13.3,-4.0,-0.7,0.0,1.3,-3.3,-10.7,-1.3,0.7,1.3,2.0
0.421,-6.0,-14.0,-4.7,-0.7,0.0,1.3,-4.0,-11.3,-2.0,0.7,1.3,2.0
0.428,-6.0,-14.0,-4.7,-0.7,0.0,2.0,-4.7,-12.0,-2.0,0.7,1.3,2.0
0.435,-6.7,-14.7,-5.3,-0.7,0.0,2.0,-4.7,-12.0,-2.0,0.7,1.3,2.0
0.442,-7.3,-14.7,-5.3,-0.7,0.0,2.0,-5.3,-12.7,-2.7,0.7,1.3,2.0
0.449,-7.3,-15.3,-5.3,-0.7,0.0,2.0,-5.3,-13.3,-2.7,0.7,1.3,2.0
0.456,-8.0,-15.3,-6.0,-1.3,0.0,2.0,-6.0,-14.0,-3.3,0.7,1.3,2.0
0.463,-8.0,-15.3,-6.0,-1.3,0.0,2.0,-6.7,-14.0,-4.0,0.7,1.3,2.0
0.470,-8.0,-14.7,-6.0,-1.3,0.0,2.0,-7.3,-14.7,-4.7,0.7,1.3,2.0
0.477,-8.7,-14.7,-6.0,-1.3,0.0,2.0,-7.3,-14.7,-4.7,0.0,1.3,2.0
0.484,-8.7,-14.7,-6.0,-1.3,0.0,2.0,-8.0,-14.7,-4.7,0.0,1.3,2.0
0.491,-8.7,-14.0,-6.7,-1.3,0.0,2.0,-8.0,-14.7,-5.3,0.0,1.3,2.0
0.498,-8.7,-13.3,-6.7,-1.3,0.0,2.0,-8.0,-14.7,-5.3,0.0,1.3,2.0
0.505,-8.7,-12.7,-6.0,-1.3,0.0,2.0,-8.7,-14.7,-5.3,0.0,1.3,2.0
0.512,-8.7,-12.0,-6.0,-1.3,0.0,2.0,-8.7,-14.0,-6.0,-0.7,1.3,2.0
0.519,-8.7,-11.3,-6.0,-1.3,0.0,2.0,-8.7,-13.3,-6.0,-0.7,0.7,2.0
0.526,-8.0,-10.7,-5.3,-1.3,0.0,2.0,-8.7,-13.3,-6.0,-0.7,0.7,2.0
0.533,-8.0,-9.3,-5.3,-1.3,0.0,2.0,-8.7,-12.7,-6.0,-0.7,0.7,2.0
0.540,-8.0,-8.7,-4.7,-1.3,0.0,2.0,-8.7,-12.0,-6.0,-0.7,0.7,2.0
0.547,-7.3,-7.3,-4.7,-1.3,0.0,2.0,-8.7,-11.3,-6.0,-1.3,0.7,2.0
0.554,-6.7,-6.0,-4.0,-1.3,0.0,2.0,-8.7,-10.7,-6.0,-1.3,0.7,2.0
0.561,-6.7,-4.7,-3.3,-0.7,0.0,2.0,-8.7,-10.0,-6.0,-1.3,0.7,2.0
